X Y Z Dir_X Dir_Y Dir_Z Dip_Direction Dip M K T n(T)
2612043 1147041 1852 0.6132 -0.7570 0.2258 140.99 76.95 5.57 2.34 16 995 
2612043 1147043 1848 0.6150 -0.7573 0.2198 140.92 77.30 5.57 2.34 16 995 
2612045 1147045 1848 0.6168 -0.7576 0.2136 140.85 77.67 5.57 2.34 16 995 
2612045 1147047 1846 0.6183 -0.7577 0.2087 140.78 77.95 5.58 2.34 16 995 
2612045 1147049 1846 0.6196 -0.7577 0.2049 140.73 78.18 5.58 2.34 16 995 
2612047 1147051 1846 0.6208 -0.7578 0.2010 140.68 78.41 5.58 2.34 16 995 
2612047 1147053 1844 0.6218 -0.7578 0.1977 140.63 78.60 5.58 2.34 16 995 
2612049 1147055 1845 0.6228 -0.7579 0.1943 140.59 78.80 5.59 2.33 16 995 
2612049 1147057 1845 0.6236 -0.7579 0.1916 140.55 78.95 5.59 2.33 16 995 
2612049 1147059 1846 0.6242 -0.7579 0.1898 140.52 79.06 5.59 2.33 16 995 
2612051 1147061 1850 0.6247 -0.7579 0.1880 140.50 79.17 5.59 2.33 16 995 
2612051 1147063 1849 0.6251 -0.7579 0.1869 140.49 79.23 5.59 2.33 16 995 
2612051 1147065 1850 0.6253 -0.7579 0.1859 140.48 79.28 5.59 2.33 16 995 
2612053 1147067 1852 0.6254 -0.7579 0.1858 140.47 79.29 5.60 2.33 16 995 
2612053 1147069 1852 0.6253 -0.7579 0.1858 140.48 79.29 5.60 2.33 16 995 
2612055 1147071 1855 0.6251 -0.7580 0.1861 140.49 79.27 5.60 2.33 16 995 
2612057 1147073 1859 0.6251 -0.7580 0.1862 140.49 79.27 5.60 2.32 16 995 
2612057 1147075 1861 0.6249 -0.7581 0.1865 140.50 79.25 5.60 2.32 16 995 
2612059 1147077 1873 0.6246 -0.7582 0.1870 140.52 79.22 5.60 2.32 16 995 
2612061 1147079 1879 0.6242 -0.7583 0.1880 140.54 79.16 5.61 2.32 16 995 
2612063 1147081 1887 0.6236 -0.7585 0.1893 140.57 79.09 5.61 2.32 16 995 
2612065 1147083 1893 0.6230 -0.7586 0.1907 140.60 79.00 5.61 2.32 16 995 
